Licence Number,Licence Description,Licence Type,Licence Status,Licensee,Additional Licensee,Trading Name,Dtf Location,Start Date,Expiry Date,Council Area
6839,Licensing Act 2003,Premises Licence,Granted,One Stop Stores Ltd,,One Stop Community Stores,"3 - 4, DURLSTON PARADE, Durlston Drive, Bersted, BOGNOR REGIS, West Sussex, PO22 9DJ",30/03/2015,,
6845,Licensing Act 2003,Premises Licence,Granted,Mr Ling Kang Hang,,China Palace,"67 High Street, Arundel, West Sussex, BN18 9AJ",24/11/2005,,Arun
6846,Licensing Act 2003,Premises Licence,Granted,Mr Nadarajah Tharmarajah,,T & S Food And Wine,"69 Lyminster Road, Wick, LITTLEHAMPTON, West Sussex, BN17 7LF",24/11/2005,,
6847,Licensing Act 2003,Premises Licence,Granted,Mr Aklak Uzzaman Malik,,Simla Tandoori,"Shop 4, Grassmere Parade, Felpham Road, Felpham, Bognor Regis, West Sussex, PO22 7NT",24/11/2005,,Arun
6851,Licensing Act 2003,Premises Licence,Granted,Mr Muhammed Yousuf Islam,,Passage To India,"15 The Square, Barnham, BOGNOR REGIS, West Sussex, PO22 0HB",24/11/2005,,
6853,Licensing Act 2003,Premises Licence,Granted,Barnham Trading Post Ltd,,Barnham Trading Post,"BARNHAM TRADING POST, Barnham Road, Eastergate, BOGNOR REGIS, West Sussex, PO22 0ES",24/11/2005,,
6856,Licensing Act 2003,Premises Licence,Granted,Ferring Parish Council,,Ferring Village Hall,"Village Hall, 90, Ferring Street, Ferring, Worthing, West Sussex, BN12 5JP",24/11/2005,,
6860,Licensing Act 2003,Premises Licence,Granted,Mr Aslan Bozyigit,,Best Kebab And Burger Bar,"12 Beach Road, Littlehampton, West Sussex, BN17 5HT",24/11/2005,,Arun
6879,Licensing Act 2003,Premises Licence,Granted,Management Committee,,Clapham & Patching Village Hall,"Clapham And Patching Village Hall, Long Furlong, Patching, Worthing, West Sussex, BN13 3UT",08/08/2012,,
6881,Licensing Act 2003,Premises Licence,Granted,Mr Prajay Patel,,Arundel Park Hotel,"Arundel Park Hotel, The Causeway, Arundel, West Sussex, BN18 9JL",24/11/2005,,
